label,nominal,actual_thickness_in,actual_width_in,length_in,treatment,sku_lowes,url_lowes,sku_hd,url_hd,sku_notes
2x4x92.625,2x4,1.5,3.5,92.625,SPF,1049,"https://www.lowes.com/pd/2-in-x-4-in-x-92-625-in-Stud/1000046977",161640,"https://www.homedepot.com/p/2-in-x-4-in-x-92-625-in-Prime-Stud-161640/202091092","SKUs/URLs may vary by region; verify before ordering."
2x4x96,2x4,1.5,3.5,96,SPF,1049,"https://www.lowes.com/pd/2-in-x-4-in-x-8-ft-Stud/1000064857",915790,"https://www.homedepot.com/p/2-in-x-4-in-x-96-in-Prime-Whitewood-Stud-915790/203927600","SKUs/URLs may vary by region; verify before ordering."
2x4x104.625,2x4,1.5,3.5,104.625,SPF,5154,"https://www.lowes.com/pd/2-in-x-4-in-x-104-625-in-Precut-Stud/1000064861",207024,"https://www.homedepot.com/p/2-in-x-4-in-x-104-625-in-Prime-Stud-207024/100090191","SKUs/URLs may vary by region; verify before ordering."
2x4x116.625,2x4,1.5,3.5,116.625,SPF,5153,"https://www.lowes.com/pd/2-in-x-4-in-x-116-625-in-Stud/1000064863",207026,"https://www.homedepot.com/p/2-in-x-4-in-x-116-625-in-Prime-Stud-207026/100090193","SKUs/URLs may vary by region; verify before ordering."
2x4x120,2x4,1.5,3.5,120,SPF,1049,"https://www.lowes.com/pd/2-in-x-4-in-x-10-ft-Standard/1000220401",100086470,"https://www.homedepot.com/p/2-in-x-4-in-x-10-ft-Prime-Whitewood-Lumber-100086470/100007963","SKUs/URLs may vary by region; verify before ordering."
2x4x144,2x4,1.5,3.5,144,SPF,1049,"https://www.lowes.com/pd/2-in-x-4-in-x-12-ft-Standard/1000220405",100086471,"https://www.homedepot.com/p/2-in-x-4-in-x-12-ft-Prime-Whitewood-Lumber-100086471/100007964","SKUs/URLs may vary by region; verify before ordering."
2x4x192,2x4,1.5,3.5,192,SPF,1049,"https://www.lowes.com/pd/2-in-x-4-in-x-16-ft-Standard/1000220407",100086472,"https://www.homedepot.com/p/2-in-x-4-in-x-16-ft-Prime-Whitewood-Lumber-100086472/100007965","SKUs/URLs may vary by region; verify before ordering."
2x4x96_PT,2x4,1.5,3.5,96,PT,1019,"https://www.lowes.com/pd/2-in-x-4-in-x-8-ft-2-Pressure-Treated-Lumber/1000064939",161648,"https://www.homedepot.com/p/Pressure-Treated-Lumber-2-in-x-4-in-x-8-ft-161648/202091093","SKUs/URLs may vary by region; verify before ordering."
2x4x120_PT,2x4,1.5,3.5,120,PT,1019,"https://www.lowes.com/pd/2-in-x-4-in-x-10-ft-2-Pressure-Treated-Lumber/1000064943",100086481,"https://www.homedepot.com/p/2-in-x-4-in-x-10-ft-Pressure-Treated-Lumber-100086481/100021218","SKUs/URLs may vary by region; verify before ordering."
2x4x144_PT,2x4,1.5,3.5,144,PT,1019,"https://www.lowes.com/pd/2-in-x-4-in-x-12-ft-2-Pressure-Treated-Lumber/1000064945",100086482,"https://www.homedepot.com/p/2-in-x-4-in-x-12-ft-Pressure-Treated-Lumber-100086482/100021219","SKUs/URLs may vary by region; verify before ordering."
2x6x96,2x6,1.5,5.5,96,SPF,1049,"https://www.lowes.com/pd/2-in-x-6-in-x-8-ft-Standard/1000220411",915592,"https://www.homedepot.com/p/2-in-x-6-in-x-96-in-Prime-Whitewood-Board-915592/203927579","SKUs/URLs may vary by region; verify before ordering."
2x6x120,2x6,1.5,5.5,120,SPF,1049,"https://www.lowes.com/pd/2-in-x-6-in-x-10-ft-Standard/1000220413",100086477,"https://www.homedepot.com/p/2-in-x-6-in-x-10-ft-Prime-Whitewood-Lumber-100086477/100007962","SKUs/URLs may vary by region; verify before ordering."
2x6x144,2x6,1.5,5.5,144,SPF,1049,"https://www.lowes.com/pd/2-in-x-6-in-x-12-ft-Standard/1000220415",100086478,"https://www.homedepot.com/p/2-in-x-6-in-x-12-ft-Prime-Whitewood-Lumber-100086478/100007963","SKUs/URLs may vary by region; verify before ordering."
2x6x192,2x6,1.5,5.5,192,SPF,1049,"https://www.lowes.com/pd/2-in-x-6-in-x-16-ft-Standard/1000220417",100086479,"https://www.homedepot.com/p/2-in-x-6-in-x-16-ft-Prime-Whitewood-Lumber-100086479/100043358","SKUs/URLs may vary by region; verify before ordering."
2x6x96_PT,2x6,1.5,5.5,96,PT,1021,"https://www.lowes.com/pd/2-in-x-6-in-x-8-ft-2-Pressure-Treated-Lumber/1000064957",100086489,"https://www.homedepot.com/p/2-in-x-6-in-x-8-ft-Pressure-Treated-Lumber-100086489/100017003","SKUs/URLs may vary by region; verify before ordering."
2x6x120_PT,2x6,1.5,5.5,120,PT,1021,"https://www.lowes.com/pd/2-in-x-6-in-x-10-ft-2-Pressure-Treated-Lumber/1000064961",100086490,"https://www.homedepot.com/p/2-in-x-6-in-x-10-ft-Pressure-Treated-Lumber-100086490/100017004","SKUs/URLs may vary by region; verify before ordering."
2x6x144_PT,2x6,1.5,5.5,144,PT,1021,"https://www.lowes.com/pd/2-in-x-6-in-x-12-ft-2-Pressure-Treated-Lumber/1000064963",100086491,"https://www.homedepot.com/p/2-in-x-6-in-x-12-ft-Pressure-Treated-Lumber-100086491/100017005","SKUs/URLs may vary by region; verify before ordering."
2x8x96,2x8,1.5,7.25,96,SPF,1049,"https://www.lowes.com/pd/2-in-x-8-in-x-8-ft-Standard/1000220421",915593,"https://www.homedepot.com/p/2-in-x-8-in-x-96-in-Prime-Whitewood-Board-915593/203927580","SKUs/URLs may vary by region; verify before ordering."
2x8x120,2x8,1.5,7.25,120,SPF,1049,"https://www.lowes.com/pd/2-in-x-8-in-x-10-ft-Standard/1000220423",100086473,"https://www.homedepot.com/p/2-in-x-8-in-x-10-ft-Prime-Whitewood-Lumber-100086473/100007960","SKUs/URLs may vary by region; verify before ordering."
2x8x144,2x8,1.5,7.25,144,SPF,1049,"https://www.lowes.com/pd/2-in-x-8-in-x-12-ft-Standard/1000220425",100086474,"https://www.homedepot.com/p/2-in-x-8-in-x-12-ft-Prime-Whitewood-Lumber-100086474/100007961","SKUs/URLs may vary by region; verify before ordering."
2x8x192,2x8,1.5,7.25,192,SPF,1049,"https://www.lowes.com/pd/2-in-x-8-in-x-16-ft-Standard/1000220427",100086475,"https://www.homedepot.com/p/2-in-x-8-in-x-16-ft-Prime-Whitewood-Lumber-100086475/100007959","SKUs/URLs may vary by region; verify before ordering."
2x8x96_PT,2x8,1.5,7.25,96,PT,1023,"https://www.lowes.com/pd/2-in-x-8-in-x-8-ft-2-Pressure-Treated-Lumber/1000064967",100086487,"https://www.homedepot.com/p/2-in-x-8-in-x-8-ft-Pressure-Treated-Lumber-100086487/100017002","SKUs/URLs may vary by region; verify before ordering."
2x10x96,2x10,1.5,9.25,96,SPF,47736,"https://www.lowes.com/pd/2-in-x-10-in-x-8-ft-Standard/1000220431",915594,"https://www.homedepot.com/p/2-in-x-10-in-x-96-in-Prime-Whitewood-Board-915594/203927581","SKUs/URLs may vary by region; verify before ordering."
2x10x120,2x10,1.5,9.25,120,SPF,47736,"https://www.lowes.com/pd/2-in-x-10-in-x-10-ft-Standard/1000220433",100086483,"https://www.homedepot.com/p/2-in-x-10-in-x-10-ft-Prime-Whitewood-Lumber-100086483/100007966","SKUs/URLs may vary by region; verify before ordering."
2x10x144,2x10,1.5,9.25,144,SPF,47736,"https://www.lowes.com/pd/2-in-x-10-in-x-12-ft-Standard/1000220435",100086484,"https://www.homedepot.com/p/2-in-x-10-in-x-12-ft-Prime-Whitewood-Lumber-100086484/100007967","SKUs/URLs may vary by region; verify before ordering."
2x10x192,2x10,1.5,9.25,192,SPF,47736,"https://www.lowes.com/pd/2-in-x-10-in-x-16-ft-Standard/1000220437",100086485,"https://www.homedepot.com/p/2-in-x-10-in-x-16-ft-Prime-Whitewood-Lumber-100086485/100007968","SKUs/URLs may vary by region; verify before ordering."
2x10x96_PT,2x10,1.5,9.25,96,PT,1025,"https://www.lowes.com/pd/2-in-x-10-in-x-8-ft-2-Pressure-Treated-Lumber/1000064971",100086495,"https://www.homedepot.com/p/2-in-x-10-in-x-8-ft-Pressure-Treated-Lumber-100086495/100047289","SKUs/URLs may vary by region; verify before ordering."
2x12x96,2x12,1.5,11.25,96,SPF,47736,"https://www.lowes.com/pd/2-in-x-12-in-x-8-ft-Standard/1000220439",915595,"https://www.homedepot.com/p/2-in-x-12-in-x-96-in-Prime-Whitewood-Board-915595/203927582","SKUs/URLs may vary by region; verify before ordering."
2x12x120,2x12,1.5,11.25,120,SPF,47736,"https://www.lowes.com/pd/2-in-x-12-in-x-10-ft-Standard/1000220441",100086486,"https://www.homedepot.com/p/2-in-x-12-in-x-10-ft-Prime-Whitewood-Lumber-100086486/100007969","SKUs/URLs may vary by region; verify before ordering."
