code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
1,Pre-Construction & Administration,,1,1,30,15000,2500,2025-01-06,2025-02-14,,,not_started,0,false,Preconstruction planning and permits,
1.1,Project Planning & Design,1,2,1,15,8000,1500,2025-01-06,2025-01-24,,,not_started,0,false,Architectural and engineering design,
1.1.1,Site Analysis & Survey,1.1,3,1,3,2000,500,2025-01-06,2025-01-08,,,not_started,0,false,Topographic survey and site analysis,
1.1.2,Schematic Design,1.1,3,2,5,3000,500,2025-01-09,2025-01-15,,,not_started,0,false,Initial design concepts and layouts,
1.1.3,Design Development,1.1,3,3,7,3000,500,2025-01-16,2025-01-24,,,not_started,0,false,Detailed design and specifications,
1.2,Permitting & Approvals,1,2,2,10,5000,500,2025-01-27,2025-02-07,,,not_started,0,false,Building permits and approvals,
1.2.1,Permit Application Prep,1.2,3,1,5,3000,300,2025-01-27,2025-01-31,,,not_started,0,false,Prepare permit documents,
1.2.2,Permit Submission & Review,1.2,3,2,5,2000,200,2025-02-03,2025-02-07,,,not_started,0,false,Submit and respond to plan review,
1.3,Mobilization,1,2,3,5,2000,500,2025-02-10,2025-02-14,,,not_started,0,false,Site setup and mobilization,
1.3.1,Site Access & Fencing,1.3,3,1,2,800,300,2025-02-10,2025-02-11,,,not_started,0,false,Install site access and security fencing,
1.3.2,Temporary Utilities,1.3,3,2,2,600,100,2025-02-12,2025-02-13,,,not_started,0,false,Set up temporary power and water,
1.3.3,Storage & Office Setup,1.3,3,3,1,600,100,2025-02-14,2025-02-14,,,not_started,0,false,Job trailer and material storage,
2,Site Work & Foundation,,1,2,25,35000,45000,2025-02-17,2025-03-21,,,not_started,0,false,Site preparation and foundation work,
2.1,Site Preparation,2,2,1,8,12000,8000,2025-02-17,2025-02-26,,,not_started,0,false,Clear site and prepare for foundation,
2.1.1,Clearing & Grubbing,2.1,3,1,3,4000,2000,2025-02-17,2025-02-19,,,not_started,0,false,Remove vegetation and debris,
2.1.2,Rough Grading,2.1,3,2,3,5000,3000,2025-02-20,2025-02-24,,,not_started,0,false,Establish site grades,
2.1.3,Erosion Control,2.1,3,3,2,3000,3000,2025-02-25,2025-02-26,,,not_started,0,false,Install silt fence and erosion measures,
2.2,Foundation Work,2,2,2,12,18000,30000,2025-02-27,2025-03-14,,,not_started,0,false,Foundation and basement construction,
2.2.1,Foundation Excavation,2.2,3,1,3,5000,3000,2025-02-27,2025-03-03,,,not_started,0,false,Excavate for footings and basement,
