code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
1,Pre-Construction & Administration,,1,1,23.00,,,2025-01-11,2025-02-20,,,not_started,0.00,false,Overall preconstruction and admin tasks,
1.1,Project Initiation,1,2,1,3.00,,,2025-01-11,2025-01-13,,,not_started,0.00,false,"Kickoff, goals, and constraints",
1.1.1,Owner Requirements & Program,1.1,3,1,2.00,,,2025-01-11,2025-01-12,,,not_started,0.00,false,Space program and performance requirements,
1.1.2,Site Visit & Initial Survey,1.1,3,2,1.00,,,2025-01-13,2025-01-13,,,not_started,0.00,false,Initial field review and notes,
1.2,Design & Engineering,1,2,2,7.00,,,2025-01-19,2025-01-25,,,not_started,0.00,false,Architectural and engineering design,
1.2.1,Architectural Design,1.2,3,1,3.00,,,2025-01-19,2025-01-21,,,not_started,0.00,false,"Plans, elevations, and sections",
1.2.2,Structural Design,1.2,3,2,2.00,,,2025-01-22,2025-01-23,,,not_started,0.00,false,Structural sizing and details,
1.2.3,MEP Coordination,1.2,3,3,2.00,,,2025-01-24,2025-01-25,,,not_started,0.00,false,Routing and equipment planning,
1.3,Permits & Approvals,1,2,3,10.00,,,2025-02-05,2025-02-14,,,not_started,0.00,false,"Permits, approvals, and utilities",
1.3.1,Building Permit Application,1.3,3,1,7.00,,,2025-02-05,2025-02-11,,,not_started,0.00,false,Prepare and submit building permit set,
1.3.2,Utility Service Approvals,1.3,3,2,3.00,,,2025-02-12,2025-02-14,,,not_started,0.00,false,"Coordinate power, water, and sewer",
1.3.3,Permit Issued,1.3,3,3,0.00,,,2025-02-14,2025-02-14,,,not_started,0.00,true,Permit Issued,Milestone
1.4,Mobilization,1,2,4,3.00,,,2025-02-18,2025-02-20,,,not_started,0.00,false,Site mobilization,
1.4.1,Site Office & Storage,1.4,3,1,1.00,,,2025-02-20,2025-02-20,,,not_started,0.00,false,"Laydown area, storage, and signage",
1.4.2,Temporary Utilities Setup,1.4,3,2,2.00,,,2025-02-18,2025-02-19,,,not_started,0.00,false,Temporary power and water,
2,Site Work & Earthwork,,1,2,23.00,,,2025-03-07,2025-04-10,,,not_started,0.00,true,Overall site preparation and grading,
2.1,Site Preparation,2,2,1,6.00,,,2025-03-07,2025-03-12,,,not_started,0.00,false,Prepare site for earthwork,
2.1.1,Clearing & Grubbing,2.1,3,1,2.00,,,2025-03-07,2025-03-08,,,not_started,0.00,false,"Remove vegetation, trees, and stumps",
2.1.2,Existing Structure Demolition,2.1,3,2,2.00,,,2025-03-09,2025-03-10,,,not_started,0.00,false,Demolish existing structures if any,
2.1.3,Temporary Erosion Control,2.1,3,3,2.00,,,2025-03-11,2025-03-12,,,not_started,0.00,false,Silt fence and erosion measures,
2.2,Earthwork,2,2,2,11.00,,,2025-03-19,2025-03-29,,,not_started,0.00,false,"Cut, fill, and grading",
2.2.1,Rough Grading,2.2,3,1,3.00,,,2025-03-19,2025-03-21,,,not_started,0.00,false,Establish general site slopes,
2.2.2,Subgrade Preparation,2.2,3,2,2.00,,,2025-03-22,2025-03-23,,,not_started,0.00,false,Compact and prep for foundations,
2.2.3,Excavation for Foundations,2.2,3,3,3.00,,,2025-03-24,2025-03-26,,,not_started,0.00,false,Excavate footings and stem walls,
2.2.4,Backfill & Compaction,2.2,3,4,3.00,,,2025-03-27,2025-03-29,,,not_started,0.00,false,Backfill around footings and walls,
2.3,Underground Utilities,2,2,3,6.00,,,2025-04-05,2025-04-10,,,not_started,0.00,false,Underground utility rough-in,
2.3.1,Water Service Trench & Pipe,2.3,3,1,2.00,,,2025-04-05,2025-04-06,,,not_started,0.00,false,Trench and install water line,
2.3.2,Sewer / Septic Lines,2.3,3,2,3.00,,,2025-04-07,2025-04-09,,,not_started,0.00,false,Install sewer or septic piping,
2.3.3,Power & Communications Trench,2.3,3,3,1.00,,,2025-04-10,2025-04-10,,,not_started,0.00,false,Conduit for power and low voltage,
3,Foundation System,,1,3,29.00,,,2025-04-29,2025-06-16,,,not_started,0.00,true,Complete foundation system,
3.1,Layout & Excavation,3,2,1,4.00,,,2025-04-29,2025-05-02,,,not_started,0.00,false,Layout and overexcavation,
3.1.1,Batter Boards & Building Layout,3.1,3,1,2.00,,,2025-04-29,2025-04-30,,,not_started,0.00,false,Set layout lines and elevations,
3.1.2,Overexcavation & Subgrade Prep,3.1,3,2,2.00,,,2025-05-01,2025-05-02,,,not_started,0.00,false,Overexcavate and compact subgrade,
3.2,Footings,3,2,2,6.00,,,2025-05-09,2025-05-14,,,not_started,0.00,false,Footing system,
3.2.1,Footing Formwork,3.2,3,1,2.00,,,2025-05-09,2025-05-10,,,not_started,0.00,false,Build footing forms,
3.2.2,Footing Reinforcement,3.2,3,2,2.00,,,2025-05-11,2025-05-12,,,not_started,0.00,false,Install footing rebar,
3.2.3,Footing Concrete Placement,3.2,3,3,2.00,,,2025-05-13,2025-05-14,,,not_started,0.00,false,Pour and finish footing concrete,
3.3,Foundation / Stem Walls,3,2,3,8.00,,,2025-05-21,2025-05-28,,,not_started,0.00,false,Foundation walls or stem walls,
3.3.1,Wall Formwork,3.3,3,1,2.00,,,2025-05-21,2025-05-22,,,not_started,0.00,false,Form stem or foundation walls,
3.3.2,Wall Reinforcement,3.3,3,2,2.00,,,2025-05-23,2025-05-24,,,not_started,0.00,false,Install vertical and horizontal rebar,
3.3.3,Wall Concrete Placement,3.3,3,3,2.00,,,2025-05-25,2025-05-26,,,not_started,0.00,false,Place and vibrate concrete,
3.3.4,Dampproofing / Waterproofing,3.3,3,4,2.00,,,2025-05-27,2025-05-28,,,not_started,0.00,false,Waterproof exterior walls,
