code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
0,Pre-Construction & Administration,,1,1,,,,2025-12-04,2025-12-13,,,not_started,50.00,false,,
1,Site Work & Earthwork,,1,2,,,,2025-12-13,2025-12-20,,,not_started,0.00,false,,
1.1,Clearing & Demolition,1,2,1,,,,,,,,not_started,0.00,false,,
1.1,Clearing & Demolition,1,2,1,,,,,,,,not_started,0.00,false,,
1.2,Grading & Excavation,1,2,2,,,,,,,,not_started,0.00,false,,
1.3,Fill & Compaction,1,2,3,,,,,,,,not_started,0.00,false,,
2,Foundation System,,1,3,,,,,,,,not_started,0.00,false,,
2.1,Formwork,2,2,1,,,,,,,,not_started,0.00,false,,
2.2,Reinforcement,2,2,2,,,,,,,,not_started,0.00,false,,
2.3,Footings,2,2,3,,,,,,,,not_started,0.00,false,,
3,Structural Framing,,1,4,,,,,,,,not_started,0.00,false,,
3.1,Floor Framing,3,2,1,,,,,,,,not_started,0.00,false,,
3.2,Wall Framing,3,2,2,,,,,,,,not_started,0.00,false,,
3.3,Roof Framing,3,2,3,,,,,,,,not_started,0.00,false,,
4,Roofing System,,1,5,,,,,,,,not_started,0.00,false,,
5,Building Envelope,,1,6,,,,,,,,not_started,0.00,false,,
6,Exterior Finishes,,1,7,,,,,,,,not_started,0.00,false,,
7,Rough-In Systems,,1,8,,,,,,,,not_started,0.00,false,,
8,Insulation & Air Sealing,,1,9,,,,,,,,not_started,0.00,false,,
9,Interior Finishes,,1,10,,,,,,,,not_started,0.00,false,,
10,Finish MEP,,1,11,,,,,,,,not_started,0.00,false,,
11,Appliance Installation,,1,12,,,,,,,,not_started,0.00,false,,
12,Exterior Works & Hardscape,,1,13,,,,,,,,not_started,0.00,false,,
13,Inspections & Certifications,,1,14,,,,,,,,not_started,0.00,false,,
14,Punch List & Closeout,,1,15,,,,,,,,not_started,0.00,false,,
