predecessor_code,successor_code,dependency_type,lag_days,notes
1,13.1,FS,0,Seq within parent
13.1,12.1,FS,0,Seq within parent
12.1,14.1,FS,0,Seq within parent
14.1,15.1,FS,0,Seq within parent
15.1,12.2,FS,0,Seq within parent
12.2,13.2,FS,0,Seq within parent
13.2,14.2,FS,0,Seq within parent
14.2,15.2,FS,0,Seq within parent
15.2,2,FS,0,Seq within parent
2,12.3,FS,0,Seq within parent
12.3,14.3,FS,0,Seq within parent
14.3,15.3,FS,0,Seq within parent
15.3,3,FS,0,Seq within parent
3,13.3,FS,0,Seq within parent
13.3,12.4,FS,0,Seq within parent
12.4,13.4,FS,0,Seq within parent
13.4,14.4,FS,0,Seq within parent
14.4,15.4,FS,0,Seq within parent
15.4,4,FS,0,Seq within parent
4,11.5,FS,0,Seq within parent
11.5,5,FS,0,Seq within parent
5,11.6,FS,0,Seq within parent
11.6,6,FS,0,Seq within parent
6,7,FS,0,Seq within parent
7,8,FS,0,Seq within parent
8,9,FS,0,Seq within parent
9,10,FS,0,Seq within parent
10,11,FS,0,Seq within parent
11,12,FS,0,Seq within parent
12,13,FS,0,Seq within parent
13,14,FS,0,Seq within parent
14,15,FS,0,Seq within parent
1.1,1.2,FS,0,Seq within parent
1.2,1.3,FS,0,Seq within parent
1.3,1.4,FS,0,Seq within parent
1,1.1,FS,0,Parent to child
1,1.2,FS,0,Parent to child
1,1.3,FS,0,Parent to child
1,1.4,FS,0,Parent to child
1.1.1,1.1.2,FS,0,Seq within parent
1.1,1.1.1,FS,0,Parent to child
1.1,1.1.2,FS,0,Parent to child
1.2.1,1.2.2,FS,0,Seq within parent
1.2.2,1.2.3,FS,0,Seq within parent
1.2,1.2.1,FS,0,Parent to child
1.2,1.2.2,FS,0,Parent to child
1.2,1.2.3,FS,0,Parent to child
1.3.1,1.3.2,FS,0,Seq within parent
1.3,1.3.1,FS,0,Parent to child
1.3,1.3.2,FS,0,Parent to child
1.4.1,1.4.2,FS,0,Seq within parent
1.4,1.4.1,FS,0,Parent to child
1.4,1.4.2,FS,0,Parent to child
